업체,지점,주소,Latitude,Longitude
홈플러스,월드컵점,서울 마포구 월드컵로 240,37.5638012,126.8997262
올가홀푸드,방배점,서울 서초구 방배로 162,37.4882589,126.9938391
올가홀푸드,압구정점,서울 강남구 압구정로 309,37.5312143,127.0354395
올가홀푸드,강남점,서울 강남구 대치동 937,37.4970578,127.0535939
올가홀푸드,잠실점,서울 송파구 가락동 중대로 168,37.4968239,127.1253466
올가홀푸드,관악점,서울 관악구 봉천로 209,37.4905387,126.9250502
올가홀푸드,명동점,서울 중구 을지로 30,37.5648094,126.9810897
올가홀푸드,영등포점,서울 영등포구 당산동5가,37.5320868,126.9012
올가홀푸드,노원점,서울 노원구 상계2동,37.656471,127.0662494
올가홀푸드,미아점,서울 송파구 방이동 185-8,37.5104456,127.1264624
올가홀푸드,스타시티점,서울 광진구 능동로 92,37.5387882,127.0711369
