Count,Latitude,Longitude,사업장명,업태구분명
89,37.5590299,126.975965,숭례문상가,그 밖의 대규모점포
90,37.6197668,126.9218722,메트로,쇼핑센터
91,37.5648094,126.9810897,호텔롯데아케이드,그 밖의 대규모점포
92,37.5682646,127.0123011,에이피엠패션몰,그 밖의 대규모점포
93,37.5680476,126.9953684,청계상가,그 밖의 대규모점포
94,37.569309,127.0088308,헬로우에이피엠,그 밖의 대규모점포
95,37.5621749,127.0141328,청평화시장,그 밖의 대규모점포
96,37.5709778,127.021434,주식회사 이마트 청계천점,복합쇼핑몰
97,37.5682646,127.0123011,디오트,그 밖의 대규모점포
98,37.5709778,127.021434,베네치아메가몰,그 밖의 대규모점포
99,37.5624994,126.9851619,엠플라자(M plaza),쇼핑센터
100,37.569309,127.0088308,굿모닝시티 쇼핑몰,쇼핑센터
101,37.5690666,127.0067401,평화시장,복합쇼핑몰
102,37.5636503,126.9828329,눈스퀘어,그 밖의 대규모점포
103,37.525279,126.9618646,아이파크몰(I PARK MALL),쇼핑센터
104,37.5334253,126.9741612,국제센터아케이드,그 밖의 대규모점포
105,37.5302801,126.9674355,(주)전자타운,그 밖의 대규모점포
106,37.5317603,126.9687682,LS Avenue,그 밖의 대규모점포
107,37.5200987,126.9057478,삼구시장,그 밖의 대규모점포
108,37.5346943,126.9928859,해밀톤 쇼핑몰,쇼핑센터
109,37.6135005,127.0568946,삼익아파트상가,그 밖의 대규모점포
110,37.5202488,126.9811671,신동아 쇼핑센터,쇼핑센터
111,37.5330987,126.9642661,(주)농협유통하나로클럽용산점,대형마트
112,37.525279,126.9618646,아이파크(I PARK)백화점,백화점
113,37.5506553,126.8357968,롯데쇼핑(주)롯데슈퍼 우장산점,그 밖의 대규모점포
114,37.570713,126.820365,롯데쇼핑(주)롯데슈퍼 방화점,그 밖의 대규모점포
115,37.5720013,127.0236535,서울풍물시장,그 밖의 대규모점포
116,37.4905163,127.0050272,롯데쇼핑(주) 롯데마트 서초점,대형마트
117,37.5172553,126.9852114,신동아쇼핑센터,복합쇼핑몰
118,37.4970578,127.0535939,롯데백화점(강남점),백화점
119,37.5580075,127.0272177,대림리빙프라자,그 밖의 대규모점포
120,37.5485629,127.0559875,(주)인트램,그 밖의 대규모점포
